Company,Trade,Address,City,State,Zip,Letter 1 mailed
Popp Excavating,excavating,10635 S Center Hwy,Traverse City,MI,49684,Yes (Sept 4)
T. Basch Inc. Excavating,excavating,463 W Welch Ct,Traverse City,MI,49686,Yes (Sept 4)
EarthWorks Services LLC,excavating,5107 Highland Dr,Traverse City,MI,49685-9388,Yes (Sept 4)
Bob Thornton Builder/Excavator,excavating,3984 Cedar Run Rd,Traverse City,MI,49684-9687,Yes (Sept 4)
Cornerstone Excavating,excavating,770 N US Highway 31 S,Traverse City,MI,49685-7921,Yes (Sept 4)
Drogt & Sons Excavating Inc,excavating,PO Box 7 861 US Highway 31 N,Kewadin,MI,49648-0007,Yes (Sept 4)
Clovercroft Construction Inc,excavating,7962 Ontonagon Dr,Thompsonville,MI,49683-9385,Yes (Sept 4)
Gillison Excavating Inc,excavating,7704 Cadillac Hwy,Benzonia,MI,49616-9708,Yes (Sept 4)
DEUCES Landscaping & Excavation LLC,excavating,10920 Cassidy Dr,Cadillac,MI,49601-8195,Yes (Sept 4)
Olstrom Excavating & Paving Inc,excavating,256 S Peninsula Rd,East Jordan,MI,49727,Yes (Sept 4)
Great Lakes Excavating,excavating,3724 Barnard Rd,Charlevoix,MI,49720,Yes (Sept 4)
Hugh's Excavating,excavating,4200 Wickersham Rd,Charlevoix,MI,49720,Yes (Sept 4)
Bob Crandell Excavating,excavating,8310 Upper Bay Shore Rd,Charlevoix,MI,49720,Yes (Sept 4)
MDC Contracting LLC,excavating,5481 US Highway 31 S,Charlevoix,MI,49720,Yes (Sept 4)
K & D Swanson Inc,excavating,610 Sheridan St,Charlevoix,MI,49720,Yes (Sept 4)
Whitaker Excavating,excavating,8812 Ellsworth Rd,East Jordan,MI,49727,Yes (Sept 4)
Koteskey Brothers Excavating,excavating,6598 Horton Bay Rd N,Boyne City,MI,49712,Yes (Sept 4)
R & B Excavating,excavating,2355 Wheeler Rd,Boyne City,MI,49712,Yes (Sept 4)
